,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GOOGL,Alphabet Inc.,"1,688.66B",2.15%,9375130,307.39B
1,META,"Meta Platforms, Inc.","1,289.87B",-3.66%,9861734,134.90B
2,NFLX,"Netflix, Inc.",261.74B,0.80%,775028,33.72B
3,DIS,The Walt Disney Company,202.36B,1.09%,1847685,88.94B
4,TMUS,"T-Mobile US, Inc.",193.95B,-0.15%,833472,78.56B
5,CMCSA,Comcast Corporation,169.12B,1.42%,3159500,121.57B
6,VZ,Verizon Communications Inc.,166.11B,0.85%,2702134,133.97B
7,T,AT&T Inc.,123.03B,0.55%,6823903,122.43B
8,RELX,RELX PLC,82.43B,-1.83%,282252,11.60B
9,NTES,"NetEase, Inc.",68.73B,1.48%,368660,14.59B
10,AMX,"América Móvil, SAB de CV",59.43B,0.47%,110395,36.66B
11,DASH,"DoorDash, Inc.",53.25B,-1.39%,1071054,8.64B
12,SPOT,Spotify Technology S.A.,51.45B,-0.44%,699601,14.72B
13,CHTR,"Charter Communications, Inc.",41.21B,3.69%,594947,54.61B
14,EA,Electronic Arts Inc.,36.13B,1.41%,497260,7.66B
15,BIDU,"Baidu, Inc.",34.40B,3.58%,1390951,18.98B
16,BCE,BCE Inc.,33.43B,-0.63%,613539,18.55B
17,ORAN,Orange S.A.,30.94B,-0.26%,50183,46.25B
18,CHT,"Chunghwa Telecom Co., Ltd.",29.71B,0.60%,8153,7.26B
19,TU,TELUS Corporation,25.63B,-1.01%,484225,15.12B
20,RBLX,Roblox Corporation,25.23B,6.01%,2773552,2.80B
21,VOD,Vodafone Group PLC,25.08B,-1.40%,3480326,47.57B
22,TLK,Telkom Indonesia (Persero) Tbk PT,24.62B,0.64%,17863,9.48B
23,TTWO,"Take-Two Interactive Software, Inc.",24.52B,2.16%,301276,5.40B
24,PINS,"Pinterest, Inc.",23.70B,-1.07%,3392300,3.06B
25,RCI,Rogers Communications Inc.,23.55B,-0.78%,33229,14.52B
