,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,AMZN,"Amazon.com, Inc.","1,821.43B",-1.48%,10384449,574.79B
1,TSLA,"Tesla, Inc.",558.42B,2.03%,39042601,96.77B
2,HD,"The Home Depot, Inc.",371.58B,-1.09%,606086,152.67B
3,TM,Toyota Motor Corporation,329.02B,-2.76%,121200,308.27B
4,MCD,McDonald's Corporation,211.24B,-0.14%,545866,25.49B
5,BABA,Alibaba Group Holding Limited,183.88B,2.60%,6463655,130.82B
6,NKE,"NIKE, Inc.",150.24B,1.66%,2112457,51.54B
7,PDD,PDD Holdings Inc.,146.60B,3.29%,4992002,27.31B
8,LOW,"Lowe's Companies, Inc.",138.88B,-1.18%,367181,86.38B
9,BKNG,Booking Holdings Inc.,119.11B,1.67%,61729,21.37B
10,TJX,"The TJX Companies, Inc.",109.31B,-0.16%,886562,52.33B
11,ABNB,"Airbnb, Inc.",105.19B,-1.23%,876574,9.92B
12,SBUX,Starbucks Corporation,103.10B,0.85%,1754002,36.69B
13,STLA,Stellantis N.V.,82.43B,1.19%,2202667,210.60B
14,MELI,"MercadoLibre, Inc.",76.68B,1.95%,79195,14.47B
15,RACE,Ferrari N.V.,75.81B,-1.08%,53437,6.63B
16,CMG,"Chipotle Mexican Grill, Inc.",73.66B,-1.73%,62381,9.87B
17,MAR,"Marriott International, Inc.",72.45B,-0.73%,245186,23.71B
18,ORLY,"O'Reilly Automotive, Inc.",64.01B,-1.13%,50980,15.81B
19,LULU,Lululemon Athletica Inc.,58.10B,-0.18%,119057,9.19B
20,HMC,"Honda Motor Co., Ltd.",57.88B,-2.01%,260242,136.70B
21,AZO,"AutoZone, Inc.",53.31B,-1.73%,33127,17.83B
22,CPRT,"Copart, Inc.",52.84B,-1.30%,888497,4.06B
23,HLT,Hilton Worldwide Holdings Inc.,51.87B,-1.03%,149822,10.24B
24,DHI,"D.R. Horton, Inc.",50.96B,-0.89%,412135,35.93B
25,ROST,"Ross Stores, Inc.",49.07B,-0.67%,295993,20.38B
26,F,Ford Motor Company,48.40B,-,9350513,176.19B
27,GM,General Motors Company,45.60B,0.28%,2719806,171.84B
28,LEN,Lennar Corporation,45.32B,-0.85%,532349,34.23B
29,YUM,"Yum! Brands, Inc.",39.26B,-0.04%,195643,7.08B
30,JD,"JD.com, Inc.",38.83B,5.72%,9289192,152.98B
31,LVS,Las Vegas Sands Corp.,38.82B,1.49%,625862,10.37B
32,FLUT,Flutter Entertainment plc,37.83B,-1.61%,29357,9.28B
33,LI,Li Auto Inc.,37.08B,1.24%,2799431,17.47B
34,QSR,Restaurant Brands International Inc.,35.72B,-0.20%,92998,7.02B
35,CPNG,"Coupang, Inc.",32.89B,-0.95%,2852537,24.38B
36,SE,Sea Limited,32.83B,0.90%,1073675,13.06B
37,RCL,Royal Caribbean Cruises Ltd.,32.72B,-0.39%,450825,13.90B
38,TCOM,Trip.com Group Limited,28.27B,0.48%,818193,6.28B
39,TSCO,Tractor Supply Company,27.03B,-1.39%,95008,14.56B
40,ULTA,"Ulta Beauty, Inc.",26.23B,0.36%,166951,10.88B
41,EBAY,eBay Inc.,26.09B,1.59%,1640543,10.11B
42,NVR,"NVR, Inc.",24.46B,-0.92%,3731,9.31B
43,PHM,"PulteGroup, Inc.",23.90B,-2.04%,277413,16.06B
44,DECK,Deckers Outdoor Corporation,23.41B,-2.19%,80517,4.12B
45,MBLY,Mobileye Global Inc.,22.25B,1.78%,534871,2.08B
46,ROL,"Rollins, Inc.",21.99B,-1.10%,210231,3.07B
47,APTV,Aptiv PLC,21.82B,-0.27%,343879,20.05B
48,CCL,Carnival Corporation & plc,21.38B,-0.89%,7211319,21.59B
49,GPC,Genuine Parts Company,21.05B,-0.02%,293600,23.09B
50,BALL,Ball Corporation,20.60B,0.18%,154950,14.03B
51,DRI,"Darden Restaurants, Inc.",20.49B,-0.41%,150153,11.01B
52,DKNG,DraftKings Inc.,19.27B,-1.51%,2415518,3.67B
53,EXPE,"Expedia Group, Inc.",18.51B,0.79%,340965,12.84B
54,IHG,InterContinental Hotels Group PLC,17.41B,-0.26%,20222,4.62B
55,BBY,"Best Buy Co., Inc.",16.93B,-2.61%,365077,43.45B
56,PKG,Packaging Corporation of America,16.68B,-0.98%,66754,7.80B
57,YUMC,"Yum China Holdings, Inc.",16.31B,1.20%,593856,10.98B
58,H,Hyatt Hotels Corporation,16.12B,-1.49%,206438,6.67B
59,MGA,Magna International Inc.,15.68B,-0.62%,218860,42.80B
60,DPZ,"Domino's Pizza, Inc.",15.49B,-0.91%,55569,4.48B
61,CVNA,Carvana Co.,15.15B,-7.68%,1941211,10.77B
62,WSM,"Williams-Sonoma, Inc.",15.07B,0.97%,261885,7.92B
63,DKS,"DICK'S Sporting Goods, Inc.",14.80B,-1.18%,176436,12.70B
64,BURL,"Burlington Stores, Inc.",13.95B,-1.05%,169387,9.35B
65,LKQ,LKQ Corporation,13.71B,-0.66%,104045,13.87B
66,MGM,MGM Resorts International,13.58B,0.92%,510386,16.16B
67,AMCR,Amcor plc,13.53B,0.69%,958270,14.03B
68,FND,"Floor & Decor Holdings, Inc.",13.27B,-2.82%,339121,4.41B
69,KMX,"CarMax, Inc.",12.91B,-1.29%,207837,26.63B
70,TOL,"Toll Brothers, Inc.",12.57B,-1.51%,219586,10.16B
71,VFS,VinFast Auto Ltd.,12.57B,0.29%,296783,1.16B
