,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,WMT,Walmart Inc.,484.13B,-,2955874,648.13B
1,PG,The Procter & Gamble Company,377.31B,0.37%,1571114,83.93B
2,COST,Costco Wholesale Corporation,321.82B,-1.63%,1316172,248.83B
3,KO,The Coca-Cola Company,256.68B,0.20%,2734630,45.75B
4,PEP,"PepsiCo, Inc.",224.10B,0.20%,1067633,91.47B
5,FMX,"Fomento Económico Mexicano, SAB de CV",218.25B,0.02%,47352,34.56B
6,PM,Philip Morris International Inc.,143.88B,0.31%,696431,35.17B
7,UL,Unilever PLC,123.21B,-0.02%,670588,66.90B
8,BUD,Anheuser-Busch InBev SA/NV,123.16B,0.85%,647755,74.94B
9,MDLZ,"Mondelez International, Inc.",96.74B,0.35%,1007411,36.02B
10,DEO,Diageo plc,83.24B,-0.58%,405064,21.66B
11,TGT,Target Corporation,78.36B,-0.82%,665101,106.89B
12,MO,"Altria Group, Inc.",73.84B,0.92%,2112582,24.48B
13,CL,Colgate-Palmolive Company,72.49B,-0.66%,608528,19.46B
14,BTI,British American Tobacco p.l.c.,66.29B,-0.57%,1312800,34.54B
15,MNST,Monster Beverage Corporation,61.98B,0.03%,724503,7.14B
16,EL,The Estée Lauder Companies Inc.,53.59B,0.86%,263401,15.16B
17,STZ,"Constellation Brands, Inc.",47.11B,0.72%,312704,9.82B
18,KMB,Kimberly-Clark Corporation,42.33B,0.21%,198030,20.43B
19,KHC,The Kraft Heinz Company,42.26B,0.26%,1060568,26.64B
20,KDP,Keurig Dr Pepper Inc.,40.43B,0.24%,1276757,14.81B
21,ABEV,Ambev S.A.,40.32B,-0.59%,1278734,15.07B
22,KR,The Kroger Co.,40.30B,-1.34%,1567092,147.80B
23,SYY,Sysco Corporation,40.11B,-0.58%,362857,77.51B
24,HSY,The Hershey Company,39.68B,1.67%,522862,11.16B
25,KVUE,Kenvue Inc.,38.33B,0.17%,2563654,15.44B
26,GIS,"General Mills, Inc.",37.06B,0.58%,704776,20.20B
