,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,XOM,Exxon Mobil Corporation,430.03B,-0.54%,4378839,344.58B
1,CVX,Chevron Corporation,278.37B,0.07%,1732073,200.95B
2,SHEL,Shell plc,207.24B,-0.81%,1016883,386.20B
3,TTE,TotalEnergies SE,153.24B,-0.17%,166628,218.95B
4,COP,Conoco Phillips,132.93B,0.07%,1048642,58.57B
5,PBR,Petróleo Brasileiro S.A. - Petrobras,106.84B,1.15%,14138345,124.47B
6,PBR.A,Petróleo Brasileiro S.A. - Petrobras,106.84B,1.86%,4741583,124.47B
7,BP,BP p.l.c.,102.84B,-1.11%,1631652,213.03B
8,EQNR,Equinor ASA,77.02B,-2.55%,1459814,150.81B
9,CNQ,Canadian Natural Resources Limited,76.98B,-0.67%,274589,27.04B
10,ENB,Enbridge Inc.,76.40B,-0.27%,683098,32.82B
11,SLB,Schlumberger Limited,72.19B,0.46%,1968936,33.14B
12,EOG,"EOG Resources, Inc.",68.86B,0.40%,785877,24.19B
13,MPC,Marathon Petroleum Corporation,64.88B,-0.80%,495975,150.31B
14,PSX,Phillips 66,63.89B,-1.64%,432210,149.89B
15,EPD,Enterprise Products Partners L.P.,60.71B,-0.20%,800347,49.72B
16,PXD,Pioneer Natural Resources Company,56.89B,-0.47%,212962,19.36B
17,OXY,Occidental Petroleum Corporation,53.47B,-0.30%,1333776,28.92B
18,E,Eni S.p.A.,51.34B,-1.21%,61547,142.22B
19,ET,Energy Transfer LP,50.62B,-0.90%,3163698,78.59B
20,VLO,Valero Energy Corporation,49.72B,-0.85%,485706,144.77B
21,OKE,"ONEOK, Inc.",45.00B,-0.41%,254406,17.68B
22,SU,Suncor Energy Inc.,44.50B,-0.35%,830520,38.15B
23,HES,Hess Corporation,44.50B,0.19%,269269,10.65B
24,WMB,"The Williams Companies, Inc.",43.86B,-0.03%,1494742,10.91B
25,TRP,TC Energy Corporation,41.85B,0.04%,405788,11.98B
26,MPLX,MPLX LP,40.85B,-,291670,11.28B
27,KMI,"Kinder Morgan, Inc.",39.57B,-0.31%,2648269,15.33B
28,WDS,Woodside Energy Group Ltd,37.98B,-2.18%,329401,13.99B
29,LNG,"Cheniere Energy, Inc.",36.37B,0.03%,279126,20.39B
30,IMO,Imperial Oil Limited,34.51B,-0.10%,133461,38.32B
