,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,BRK.B,Berkshire Hathaway Inc.,873.94B,0.18%,562392,439.34B
1,V,Visa Inc.,575.22B,-0.36%,779276,33.35B
2,JPM,JPMorgan Chase & Co.,542.14B,-0.90%,1295145,158.10B
3,MA,Mastercard Incorporated,437.77B,-0.61%,293962,25.10B
4,BAC,Bank of America Corporation,280.27B,-0.28%,7274725,98.58B
5,WFC,Wells Fargo & Company,204.16B,-0.43%,3295881,82.60B
6,AXP,American Express Company,161.69B,-1.79%,586977,55.59B
7,BX,Blackstone Inc.,152.68B,-1.06%,486066,8.02B
8,HSBC,HSBC Holdings plc,143.25B,-0.97%,677667,66.06B
9,MS,Morgan Stanley,142.33B,-1.19%,1091521,54.14B
10,HDB,HDFC Bank Limited,141.50B,-0.57%,552549,13.76B
11,RY,Royal Bank of Canada,140.79B,-0.50%,55192,40.69B
12,SPGI,S&P Global Inc.,134.51B,-0.74%,174359,12.50B
13,MUFG,"Mitsubishi UFJ Financial Group, Inc.",130.20B,-4.55%,1359997,30.79B
14,GS,"The Goldman Sachs Group, Inc.",125.99B,-0.96%,390773,46.25B
15,BLK,"BlackRock, Inc.",124.53B,-1.34%,103917,17.86B
16,SCHW,The Charles Schwab Corporation,122.54B,-0.27%,1477065,18.84B
17,PGR,The Progressive Corporation,116.20B,-0.83%,488490,62.11B
18,C,Citigroup Inc.,109.92B,-0.80%,2740838,78.46B
19,TD,The Toronto-Dominion Bank,107.18B,-0.38%,276275,36.86B
20,CB,Chubb Limited,100.96B,0.66%,314421,49.74B
21,MMC,"Marsh & McLennan Companies, Inc.",100.86B,-0.22%,156361,22.74B
22,UBS,UBS Group AG,99.60B,0.02%,1249938,37.16B
23,IBN,ICICI Bank Limited,92.27B,-0.44%,505223,22.65B
24,KKR,KKR & Co. Inc.,87.75B,-0.63%,1101211,14.50B
25,SMFG,"Sumitomo Mitsui Financial Group, Inc.",81.35B,-4.50%,571592,28.63B
26,ICE,"Intercontinental Exchange, Inc.",78.35B,-1.10%,563833,9.90B
27,CME,CME Group Inc.,76.67B,1.28%,257977,5.58B
28,MCO,Moody's Corporation,70.65B,-0.71%,75476,5.92B
29,SAN,"Banco Santander, S.A.",68.88B,-0.12%,677005,63.04B
30,BMO,Bank of Montreal,68.43B,-0.22%,85382,24.15B
31,USB,U.S. Bancorp,67.41B,-0.17%,1107824,25.74B
32,ITUB,Itaú Unibanco Holding S.A.,66.87B,0.51%,3378335,21.85B
33,BN,Brookfield Corporation,65.26B,0.49%,610712,95.62B
34,PYPL,"PayPal Holdings, Inc.",63.24B,1.34%,3649952,29.77B
35,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",63.14B,0.19%,250684,35.84B
36,AON,Aon plc,62.81B,-0.26%,57802,13.38B
37,APO,"Apollo Global Management, Inc.",61.79B,-0.69%,618911,32.64B
38,BNS,The Bank of Nova Scotia,61.44B,-0.74%,379980,24.42B
39,PNC,"The PNC Financial Services Group, Inc.",59.80B,-0.01%,229825,21.49B
40,AJG,Arthur J. Gallagher & Co.,54.57B,-0.56%,117366,10.07B
41,MFG,"Mizuho Financial Group, Inc.",54.37B,-5.71%,866489,15.13B
42,NU,Nu Holdings Ltd.,52.76B,3.34%,7963238,8.03B
43,COF,Capital One Financial Corporation,52.20B,-0.31%,295390,26.36B
44,MET,"MetLife, Inc.",51.28B,-0.20%,412219,66.91B
45,AIG,"American International Group, Inc.",50.67B,0.22%,342206,46.80B
46,TRV,"The Travelers Companies, Inc.",50.05B,-0.37%,147356,41.36B
47,TFC,Truist Financial Corporation,49.96B,-1.16%,1134290,21.28B
48,ING,ING Groep N.V.,48.56B,1.22%,1115327,24.66B
49,AFL,Aflac Incorporated,47.38B,0.29%,243434,18.70B
50,CM,Canadian Imperial Bank of Commerce,46.62B,-0.78%,189610,17.63B
51,IBKR,"Interactive Brokers Group, Inc.",44.98B,-0.28%,269264,4.34B
52,MSCI,MSCI Inc.,43.62B,0.17%,49200,2.53B
