,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LLY,Eli Lilly and Company,724.16B,-3.66%,1392383,34.12B
1,NVO,Novo Nordisk A/S,599.92B,-1.12%,2048971,34.41B
2,UNH,UnitedHealth Group Incorporated,439.37B,1.47%,1108220,371.62B
3,JNJ,Johnson & Johnson,384.25B,-0.34%,747231,85.16B
4,ABBV,AbbVie Inc.,315.93B,-0.21%,1090631,54.32B
5,MRK,"Merck & Co., Inc.",312.78B,-1.09%,1288832,60.12B
6,TMO,Thermo Fisher Scientific Inc.,227.88B,-0.81%,319167,42.86B
7,ABT,Abbott Laboratories,209.89B,-0.69%,656005,40.11B
8,AZN,AstraZeneca PLC,206.18B,0.65%,1050919,45.81B
9,NVS,Novartis AG,205.85B,-0.13%,479638,46.66B
10,DHR,Danaher Corporation,187.66B,-1.04%,292872,23.89B
11,PFE,Pfizer Inc.,153.71B,1.54%,14067880,58.50B
12,AMGN,Amgen Inc.,146.71B,-0.21%,414884,28.19B
13,ISRG,"Intuitive Surgical, Inc.",138.06B,-2.39%,403374,7.12B
14,SYK,Stryker Corporation,136.09B,-0.37%,279004,20.50B
15,SNY,Sanofi,120.49B,-0.11%,239222,51.60B
16,ELV,Elevance Health Inc.,117.03B,0.14%,122754,171.34B
17,MDT,Medtronic plc,113.04B,-0.16%,985778,32.32B
18,BMY,Bristol-Myers Squibb Company,108.77B,0.20%,3184707,45.01B
19,VRTX,Vertex Pharmaceuticals Incorporated,106.83B,-0.81%,253757,9.87B
20,REGN,"Regeneron Pharmaceuticals, Inc.",106.34B,-0.79%,84618,13.12B
21,CI,Cigna Corporation,99.92B,-0.19%,242984,195.27B
22,BSX,Boston Scientific Corporation,99.26B,-1.55%,1489874,14.24B
23,CVS,CVS Health Corporation,94.47B,-0.09%,1009076,357.78B
24,GILD,"Gilead Sciences, Inc.",93.58B,0.12%,1807342,27.12B
25,GSK,GSK plc,88.43B,-0.90%,684581,38.39B
26,HCA,"HCA Healthcare, Inc.",86.06B,-1.57%,297320,64.97B
27,ZTS,Zoetis Inc.,83.41B,-0.75%,709716,8.54B
28,BDX,"Becton, Dickinson and Company",69.31B,-0.26%,122467,19.49B
29,MCK,McKesson Corporation,69.31B,-0.52%,147995,301.51B
30,EW,Edwards Lifesciences Corporation,55.40B,-0.88%,435288,6.00B
31,DXCM,"DexCom, Inc.",52.14B,-0.16%,700696,3.62B
32,IQV,IQVIA Holdings Inc.,46.81B,-0.46%,127932,14.98B
33,IDXX,"IDEXX Laboratories, Inc.",46.65B,-2.07%,74383,3.66B
34,TAK,Takeda Pharmaceutical Company Limited,46.35B,-1.25%,225768,29.40B
35,A,"Agilent Technologies, Inc.",43.33B,-1.05%,261617,6.74B
36,ALC,Alcon Inc.,43.16B,0.34%,133408,9.46B
37,GEHC,GE HealthCare Technologies Inc.,42.74B,-1.27%,544311,19.55B
38,CNC,Centene Corporation,41.79B,-0.91%,368017,154.00B
39,HUM,Humana Inc.,40.94B,0.53%,234275,106.37B
40,HLN,Haleon plc,39.85B,-0.52%,1304158,14.31B
41,MRNA,"Moderna, Inc.",39.36B,9.73%,3906368,6.85B
42,COR,Cencora,38.52B,-0.25%,119876,271.58B
43,VEEV,Veeva Systems Inc.,36.68B,0.49%,132544,2.36B
44,BIIB,Biogen Inc.,32.45B,1.11%,174012,9.84B
45,MTD,Mettler-Toledo International Inc.,28.22B,-1.13%,26464,3.79B
46,CAH,"Cardinal Health, Inc.",28.01B,-0.53%,350385,216.15B
47,RMD,ResMed Inc.,27.72B,-1.27%,83686,4.50B
48,ICLR,ICON PLC,27.61B,-0.72%,129711,8.12B
49,WST,"West Pharmaceutical Services, Inc.",26.31B,-0.25%,32201,2.95B
50,ZBH,"Zimmer Biomet Holdings, Inc.",25.99B,0.11%,114895,7.39B
51,ALGN,"Align Technology, Inc.",23.47B,-1.46%,92646,3.86B
52,ARGX,argenx SE,23.16B,0.66%,53305,39.48M
53,STE,STERIS plc,23.09B,-0.08%,54911,5.41B
54,MOH,"Molina Healthcare, Inc.",22.93B,0.91%,42036,34.07B
55,BAX,Baxter International Inc.,22.23B,-0.79%,322427,14.81B
56,BNTX,BioNTech SE,21.70B,5.39%,389243,7.04B
57,ILMN,"Illumina, Inc.",21.52B,0.51%,358765,4.50B
58,WAT,Waters Corporation,21.07B,-1.19%,51332,2.96B
59,COO,"The Cooper Companies, Inc.",20.18B,-0.24%,259058,3.67B
60,GMAB,Genmab A/S,19.77B,3.60%,244868,2.44B
61,PHG,Koninklijke Philips N.V.,19.01B,1.01%,120427,20.19B
62,ALNY,"Alnylam Pharmaceuticals, Inc.",18.87B,0.47%,80154,1.83B
63,LH,Laboratory Corporation of America Holdings,18.29B,-0.54%,53792,12.16B
64,WBA,"Walgreens Boots Alliance, Inc.",18.25B,2.22%,2310070,142.41B
65,RPRX,Royalty Pharma plc,18.14B,-0.26%,250073,2.35B
66,HOLX,"Hologic, Inc.",18.09B,-1.19%,191966,3.97B
67,BGNE,"BeiGene, Ltd.",17.44B,4.55%,37163,2.46B
68,BMRN,BioMarin Pharmaceutical Inc.,16.22B,-0.07%,138232,2.42B
69,TEVA,Teva Pharmaceutical Industries Limited,15.27B,-1.40%,1659242,15.85B
70,VTRS,Viatris Inc.,14.56B,-3.30%,2479210,15.43B
71,DGX,Quest Diagnostics Incorporated,14.09B,-0.08%,92374,9.25B
72,NBIX,"Neurocrine Biosciences, Inc.",13.85B,-0.32%,160580,1.89B
73,CRL,"Charles River Laboratories International, Inc.",13.71B,-1.05%,82754,4.13B
74,RVTY,"Revvity, Inc.",13.51B,-0.11%,113100,2.75B
75,INCY,Incyte Corporation,13.48B,0.35%,441636,3.70B
76,RDY,Dr. Reddy's Laboratories Limited,12.75B,0.34%,17886,2.99B
77,PODD,Insulet Corporation,12.56B,-0.15%,141039,1.70B
78,BRKR,Bruker Corporation,12.55B,-0.32%,109918,2.96B
79,MEDP,"Medpace Holdings, Inc.",12.48B,-1.20%,42282,1.89B
80,KRTX,"Karuna Therapeutics, Inc.",12.21B,-0.22%,23774,654.00K
81,TECH,Bio-Techne Corporation,12.12B,-2.16%,164869,1.14B
82,SNN,Smith & Nephew plc,12.11B,0.34%,305461,5.55B
