,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,GE,General Electric Company,182.80B,-1.20%,2938337,67.95B
1,CAT,Caterpillar Inc.,169.38B,-1.91%,525654,67.06B
2,UNP,Union Pacific Corporation,153.03B,-1.27%,252051,24.12B
3,UPS,"United Parcel Service, Inc.",131.27B,0.05%,433712,90.96B
4,HON,Honeywell International Inc.,130.93B,-0.58%,538947,36.66B
5,BA,The Boeing Company,121.11B,-3.21%,6332283,77.79B
6,RTX,RTX Corp,120.58B,0.34%,1258939,68.92B
7,ETN,Eaton Corporation plc,118.85B,-2.29%,539133,23.20B
8,LMT,Lockheed Martin Corporation,104.61B,0.30%,232885,67.57B
9,DE,Deere & Company,104.13B,-0.50%,174410,60.79B
10,ADP,"Automatic Data Processing, Inc.",99.58B,-0.04%,238721,18.59B
11,CP,Canadian Pacific Railway Limited,83.91B,-0.38%,210341,9.44B
12,WM,"Waste Management, Inc.",83.43B,-0.01%,247514,20.43B
13,CNI,Canadian National Railway Company,82.84B,-0.70%,123252,12.65B
14,ITW,Illinois Tool Works Inc.,78.04B,-0.56%,167820,16.11B
15,CSX,CSX Corporation,74.82B,-0.63%,1362433,14.66B
16,GD,General Dynamics Corporation,74.61B,-0.34%,76516,42.27B
17,TRI,Thomson Reuters Corporation,70.97B,-0.66%,26555,6.79B
18,PH,Parker-Hannifin Corporation,69.00B,-1.40%,130348,19.83B
19,NOC,Northrop Grumman Corporation,68.94B,0.23%,85413,39.29B
20,TDG,TransDigm Group Incorporated,64.78B,-1.42%,56706,6.98B
21,TT,Trane Technologies plc,64.68B,-1.69%,114238,17.68B
22,CTAS,Cintas Corporation,63.39B,-1.23%,35294,9.19B
23,EMR,Emerson Electric Co.,62.97B,-1.21%,393566,15.91B
24,FDX,FedEx Corporation,61.89B,0.75%,156106,87.95B
25,PCAR,PACCAR Inc,60.06B,-1.61%,464971,35.13B
26,NSC,Norfolk Southern Corporation,58.63B,-1.27%,148246,12.16B
27,ROP,"Roper Technologies, Inc.",58.43B,0.18%,47234,6.18B
28,RSG,"Republic Services, Inc.",57.95B,-0.49%,117036,14.96B
29,CARR,Carrier Global Corporation,52.25B,-2.53%,667290,22.10B
