,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,LIN,Linde plc,222.75B,1.43%,1112933,32.85B
1,BHP,BHP Group Limited,147.36B,-2.51%,995040,55.34B
2,RIO,Rio Tinto Group,102.88B,-2.00%,1842898,54.04B
3,SHW,The Sherwin-Williams Company,86.57B,-1.08%,182563,23.05B
4,SCCO,Southern Copper Corporation,66.70B,-0.12%,195901,9.90B
5,ECL,Ecolab Inc.,63.80B,-0.46%,351544,15.32B
6,VALE,Vale S.A.,57.61B,-2.35%,17440567,43.84B
7,CRH,CRH plc,57.43B,-0.75%,1177225,34.95B
8,FCX,Freeport-McMoRan Inc.,57.16B,0.74%,1982796,22.86B
9,APD,"Air Products and Chemicals, Inc.",53.71B,2.01%,331403,12.42B
10,NUE,Nucor Corporation,44.74B,-2.36%,269589,34.71B
11,DOW,Dow Inc.,40.08B,0.55%,714367,44.62B
12,NEM,Newmont Corporation,39.08B,3.05%,5204812,11.81B
13,CTVA,"Corteva, Inc.",38.37B,0.46%,754523,17.23B
14,MLM,"Martin Marietta Materials, Inc.",36.90B,-0.64%,100904,6.78B
15,VMC,Vulcan Materials Company,35.26B,-0.69%,149115,7.78B
16,PPG,"PPG Industries, Inc.",33.12B,-0.13%,162430,18.25B
17,LYB,LyondellBasell Industries N.V.,32.11B,0.55%,124164,41.11B
18,DD,"DuPont de Nemours, Inc.",29.82B,0.70%,342371,12.07B
19,GOLD,Barrick Gold Corporation,27.78B,0.63%,4623347,11.40B
20,AEM,Agnico Eagle Mines Limited,27.19B,1.50%,1239224,6.63B
21,NTR,Nutrien Ltd.,26.23B,0.09%,185304,29.06B
22,PKX,POSCO Holdings Inc.,25.49B,-1.25%,10759,59.55B
23,FNV,Franco-Nevada Corporation,22.17B,-1.28%,213285,1.22B
24,TECK,Teck Resources Limited,21.47B,0.60%,569353,11.29B
25,MT,ArcelorMittal S.A.,21.21B,-0.13%,405132,68.28B
26,STLD,"Steel Dynamics, Inc.",20.79B,-3.07%,164836,18.80B
27,WPM,Wheaton Precious Metals Corp.,20.31B,0.15%,284998,938.63M
28,IFF,International Flavors & Fragrances Inc.,20.11B,2.43%,352983,11.48B
29,RS,Reliance Steel & Aluminum Co.,18.36B,-2.08%,30082,14.81B
30,WLK,Westlake Corporation,18.17B,-0.78%,56801,12.55B
31,JHX,James Hardie Industries plc,18.06B,-1.24%,1973,3.85B
32,AVTR,"Avantor, Inc.",17.39B,-1.37%,553145,6.97B
33,CE,Celanese Corporation,16.93B,0.28%,84913,10.94B
34,CF,"CF Industries Holdings, Inc.",15.83B,-0.38%,275814,6.63B
35,SUZ,Suzano S.A.,15.29B,0.13%,135637,8.16B
36,RPM,RPM International Inc.,15.12B,-0.78%,62588,7.34B
37,ALB,Albemarle Corporation,13.90B,5.73%,1409770,9.62B
38,GFI,Gold Fields Limited,13.69B,2.06%,1454620,4.29B
39,SQM,Sociedad Química y Minera de Chile S.A.,13.15B,6.02%,513319,10.71B
40,CX,"CEMEX, SAB de CV",11.46B,0.25%,950304,15.58B
41,X,United States Steel Corporation,10.61B,0.21%,306116,18.05B
42,EMN,Eastman Chemical Company,10.54B,1.01%,118601,9.21B
43,CLF,Cleveland-Cliffs Inc.,10.46B,-2.14%,1492916,22.00B
44,MOS,The Mosaic Company,10.16B,-0.13%,550895,13.70B
45,AU,AngloGold Ashanti Limited,9.38B,1.90%,453307,4.50B
46,EXP,Eagle Materials Inc.,8.85B,-2.96%,65650,2.25B
47,TX,Ternium S.A.,7.87B,-0.71%,24247,17.63B
48,FMC,FMC Corporation,7.82B,2.60%,325584,4.49B
49,SUM,"Summit Materials, Inc.",7.49B,-1.62%,160065,2.62B
50,GGB,Gerdau S.A.,7.42B,0.94%,1154425,15.58B
51,RGLD,"Royal Gold, Inc.",7.41B,1.47%,121812,605.72M
52,AXTA,Axalta Coating Systems Ltd.,7.30B,0.30%,193623,5.18B
53,UFPI,"UFP Industries, Inc.",7.10B,-2.66%,41271,7.22B
54,ICL,ICL Group Ltd,7.05B,-6.10%,398320,7.54B
55,OLN,Olin Corporation,6.83B,-0.79%,143442,6.83B
56,WFG,West Fraser Timber Co. Ltd.,6.64B,1.16%,21552,6.45B
57,KGC,Kinross Gold Corporation,6.62B,2.61%,5268835,4.24B
58,CMC,Commercial Metals Company,6.30B,-3.80%,226460,8.58B
59,NEU,NewMarket Corporation,5.90B,-0.45%,3204,2.70B
60,ESI,Element Solutions Inc,5.80B,-0.31%,110624,2.33B
61,AA,Alcoa Corporation,5.36B,1.98%,1701825,10.55B
62,AGI,Alamos Gold Inc.,5.32B,1.57%,816707,1.02B
63,ALTM,Arcadium Lithium plc,5.20B,4.96%,1991653,882.50M
64,BCC,Boise Cascade Company,5.11B,-2.09%,46020,6.84B
65,PAAS,Pan American Silver Corp.,5.07B,2.42%,971932,2.32B
66,SSL,Sasol Limited,5.07B,-4.34%,309138,15.57B
67,BCPC,Balchem Corporation,5.05B,-0.32%,5271,922.44M
68,SIM,"Grupo Simec, SAB de CV",4.92B,-,5,2.78B
69,AMR,"Alpha Metallurgical Resources, Inc.",4.89B,-6.44%,62459,3.47B
70,CBT,Cabot Corporation,4.83B,0.14%,35060,3.92B
71,ASH,Ashland Inc.,4.78B,0.30%,17900,2.14B
72,HUN,Huntsman Corporation,4.58B,-0.92%,142779,6.11B
73,HMY,Harmony Gold Mining Company Limited,4.43B,7.49%,4232381,168.84M
74,FUL,H.B. Fuller Company,4.31B,-0.52%,15122,3.51B
75,KNF,Knife River Corporation,4.31B,-0.72%,70146,2.83B
76,SID,Companhia Siderúrgica Nacional,4.28B,-1.70%,1100202,8.39B
77,BVN,Compania de Minas Buenaventura S.A.,4.12B,5.67%,680574,824.80M
78,SMG,The Scotts Miracle-Gro Company,3.86B,-1.79%,83642,3.44B
79,CC,The Chemours Company,3.84B,1.39%,225302,6.00B
80,AVNT,Avient Corporation,3.77B,-0.02%,15949,3.14B
81,STR,Sitio Royalties Corp.,3.76B,-1.76%,84441,593.36M
82,KWR,Quaker Chemical Corporation,3.59B,-0.43%,7016,1.95B
83,BTG,B2Gold Corp.,3.45B,1.33%,5086103,1.93B
84,WDFC,WD-40 Company,3.43B,-0.75%,10330,552.78M
85,BAK,Braskem S.A.,3.33B,2.87%,265428,18.25B
86,SBSW,Sibanye Stillwater Limited,3.28B,-0.32%,2174949,8.13B
87,HCC,"Warrior Met Coal, Inc.",3.18B,-7.59%,306649,1.68B
88,IOSP,Innospec Inc.,3.13B,-0.53%,4507,1.95B
89,OR,Osisko Gold Royalties Ltd,3.01B,1.39%,634056,185.95M
90,CSTM,Constellium SE,2.95B,-0.70%,79031,8.04B
91,SXT,Sensient Technologies Corporation,2.91B,0.28%,17739,1.46B
92,MEOH,Methanex Corporation,2.82B,0.50%,30757,3.72B
93,TFPM,Triple Flag Precious Metals Corp.,2.74B,0.70%,76096,204.02M
94,MTRN,Materion Corporation,2.73B,-1.13%,8520,1.67B
95,SLVM,Sylvamo Corporation,2.58B,1.00%,34750,3.72B
96,HL,Hecla Mining Company,2.54B,6.20%,3052076,720.23M
97,MP,MP Materials Corp.,2.53B,2.46%,640445,253.45M
