,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,PLD,"Prologis, Inc.",125.85B,-0.44%,262392,8.02B
1,AMT,American Tower Corporation,96.68B,-0.46%,325654,11.14B
2,EQIX,"Equinix, Inc.",86.11B,-2.41%,82234,8.19B
3,SPG,"Simon Property Group, Inc.",56.58B,-1.20%,207987,5.66B
4,WELL,Welltower Inc.,52.34B,0.24%,235632,6.64B
5,PSA,Public Storage,51.64B,0.37%,96171,4.52B
6,CCI,Crown Castle Inc.,49.03B,-0.87%,383131,6.98B
7,DLR,"Digital Realty Trust, Inc.",47.65B,-3.09%,545697,5.48B
8,O,Realty Income Corporation,45.56B,0.92%,1029315,4.08B
9,CSGP,"CoStar Group, Inc.",35.17B,0.69%,232511,2.46B
10,EXR,Extra Space Storage Inc.,32.95B,-0.55%,201686,2.56B
11,VICI,VICI Properties Inc.,30.36B,1.46%,843423,3.61B
12,CBRE,"CBRE Group, Inc.",28.85B,-1.24%,154326,31.95B
13,AVB,"AvalonBay Communities, Inc.",26.55B,-0.30%,67763,2.77B
14,WY,Weyerhaeuser Company,25.42B,0.29%,373589,7.67B
15,SBAC,SBA Communications Corporation,24.18B,-0.34%,175092,2.71B
16,EQR,Equity Residential,24.07B,-0.22%,232573,2.87B
17,IRM,Iron Mountain Incorporated,23.78B,-0.92%,307167,5.48B
18,ARE,"Alexandria Real Estate Equities, Inc.",22.25B,0.21%,116110,2.89B
19,INVH,Invitation Homes Inc.,21.49B,-0.16%,279612,2.43B
20,KSPI,Joint Stock Company Kaspi.kz,20.50B,1.74%,76365,4.28B
21,VTR,"Ventas, Inc.",17.88B,-0.41%,114017,4.50B
22,SUI,"Sun Communities, Inc.",17.33B,-0.37%,86468,3.22B
23,ESS,"Essex Property Trust, Inc.",16.31B,-0.51%,21813,1.67B
24,MAA,"Mid-America Apartment Communities, Inc.",16.17B,0.62%,105300,2.15B
25,BEKE,KE Holdings Inc.,15.65B,5.11%,2700407,10.22B
26,AMH,American Homes 4 Rent,15.39B,-0.38%,215188,1.62B
27,HST,"Host Hotels & Resorts, Inc.",14.90B,-0.81%,463834,5.31B
28,UDR,"UDR, Inc.",13.55B,-0.28%,375015,1.63B
29,KIM,Kimco Realty Corporation,13.11B,-0.33%,349710,1.78B
30,ELS,"Equity LifeStyle Properties, Inc.",13.03B,-0.11%,53063,1.49B
31,WPC,W. P. Carey Inc.,12.59B,0.44%,169812,1.74B
32,GLPI,"Gaming and Leisure Properties, Inc.",12.54B,0.35%,158206,1.44B
33,LAMR,Lamar Advertising Company,12.06B,-1.19%,41779,2.11B
34,REXR,"Rexford Industrial Realty, Inc.",11.73B,0.42%,304254,797.83M
35,REG,Regency Centers Corporation,11.49B,-0.40%,198567,1.32B
36,CPT,Camden Property Trust,10.82B,-0.42%,207559,1.56B
37,CUBE,CubeSmart,10.30B,0.70%,259072,1.05B
38,BXP,"Boston Properties, Inc.",10.04B,-0.05%,85525,3.27B
39,NLY,"Annaly Capital Management, Inc.",9.82B,0.31%,570062,-1.44B
40,DOC,"Healthpeak Properties, Inc.",9.50B,-0.45%,787732,2.18B
41,JLL,Jones Lang LaSalle Incorporated,8.94B,-0.97%,38338,20.76B
42,EGP,"EastGroup Properties, Inc.",8.69B,-0.24%,21930,570.59M
43,FRT,Federal Realty Investment Trust,8.54B,-0.41%,55820,1.13B
44,NNN,NNN REIT Inc,7.76B,0.14%,147909,828.11M
45,OHI,"Omega Healthcare Investors, Inc.",7.75B,0.39%,162054,949.74M
46,FSV,FirstService Corporation,7.54B,-1.24%,17029,4.33B
47,COLD,"Americold Realty Trust, Inc.",7.48B,-0.49%,208990,2.67B
48,FR,"First Industrial Realty Trust, Inc.",7.23B,-0.24%,60238,614.03M
49,RHP,"Ryman Hospitality Properties, Inc.",7.04B,-1.61%,34103,2.16B
50,STAG,"STAG Industrial, Inc.",7.03B,-0.16%,352570,707.84M
51,BRX,Brixmor Property Group Inc.,6.85B,-0.20%,266376,1.25B
52,AGNC,AGNC Investment Corp.,6.76B,0.87%,4903949,251.00M
53,STWD,"Starwood Property Trust, Inc.",6.59B,-0.25%,445473,2.05B
54,CIGI,Colliers International Group Inc.,5.91B,-0.17%,8771,4.34B
55,ADC,Agree Realty Corporation,5.81B,0.22%,184186,537.50M
56,TRNO,Terreno Realty Corporation,5.62B,-0.02%,42438,323.59M
57,VNO,Vornado Realty Trust,5.43B,-0.31%,189027,1.81B
58,RYN,Rayonier Inc.,5.29B,-0.68%,76985,1.06B
59,RITM,Rithm Capital Corp.,5.28B,0.32%,464561,3.69B
60,HR,Healthcare Realty Trust Incorporated,5.17B,0.96%,561154,1.34B
61,NSA,National Storage Affiliates Trust,5.14B,0.97%,178202,858.06M
62,PECO,"Phillips Edison & Company, Inc.",4.89B,-0.06%,65185,610.12M
63,KRG,Kite Realty Group Trust,4.76B,-0.56%,182915,823.00M
64,AIRC,Apartment Income REIT Corp.,4.66B,0.31%,237320,820.04M
65,KRC,Kilroy Realty Corporation,4.30B,0.11%,71579,1.13B
66,EPRT,"Essential Properties Realty Trust, Inc.",4.15B,0.28%,107957,359.60M
67,APLE,"Apple Hospitality REIT, Inc.",4.07B,-0.47%,329026,1.34B
68,RLJ,RLJ Lodging Trust,3.82B,-0.78%,101140,1.33B
69,HHH,Howard Hughes Holdings Inc,3.81B,-0.18%,10663,1.02B
70,IRT,"Independence Realty Trust, Inc.",3.74B,-0.34%,194171,660.98M
71,PCH,PotlatchDeltic Corporation,3.74B,0.06%,18272,1.02B
72,MAC,The Macerich Company,3.66B,-1.50%,203166,884.07M
73,PK,Park Hotels & Resorts Inc.,3.62B,-0.76%,206090,2.70B
74,CUZ,Cousins Properties Incorporated,3.60B,-0.25%,97282,802.87M
75,BXMT,"Blackstone Mortgage Trust, Inc.",3.51B,-0.05%,192017,670.67M
76,SLG,SL Green Realty Corp.,3.37B,-1.95%,191449,913.71M
77,EPR,EPR Properties,3.22B,0.74%,103455,705.67M
78,SBRA,"Sabra Health Care REIT, Inc.",3.22B,0.11%,257785,647.51M
79,SKT,"Tanger Factory Outlet Centers, Inc.",3.20B,-0.95%,89284,464.41M
80,JOE,The St. Joe Company,3.14B,-0.75%,15442,389.29M
81,TCN,Tricon Residential Inc.,3.06B,-0.13%,275541,849.78M
82,CTRE,"CareTrust REIT, Inc.",3.04B,0.49%,180429,217.77M
83,DBRG,"DigitalBridge Group, Inc.",3.01B,1.03%,155119,821.38M
84,SITC,SITE Centers Corp.,2.97B,-0.77%,123046,546.28M
85,HASI,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",2.95B,0.46%,125014,319.87M
86,CDP,COPT Defense Properties,2.83B,-0.40%,84030,684.98M
87,BNL,"Broadstone Net Lease, Inc.",2.83B,0.34%,207867,442.89M
88,DEI,"Douglas Emmett, Inc.",2.77B,0.04%,178038,1.02B
89,ESRT,"Empire State Realty Trust, Inc.",2.74B,0.51%,75409,739.57M
90,IIPR,"Innovative Industrial Properties, Inc.",2.73B,-0.54%,22244,309.51M
91,LXP,LXP Industrial Trust,2.70B,-0.16%,270005,340.50M
92,HIW,"Highwoods Properties, Inc.",2.68B,0.24%,90800,834.00M
93,OUT,Outfront Media Inc.,2.65B,-1.31%,282047,1.82B
94,NMRK,"Newmark Group, Inc.",2.61B,-1.20%,270430,2.47B
95,VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",2.60B,-0.56%,4111,214.50M
