,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,MSFT,Microsoft Corporation,"3,018.39B",-0.53%,4564821,227.58B
1,AAPL,Apple Inc,"2,636.40B",0.98%,20749537,385.71B
2,NVDA,NVIDIA Corporation,"2,188.20B",1.06%,29106544,60.92B
3,TSM,Taiwan Semiconductor Manufacturing Company Limited,759.22B,-2.59%,12570550,70.35B
4,AVGO,Broadcom Inc.,606.49B,-1.00%,1196796,38.87B
5,ASML,ASML Holding N.V.,408.17B,-2.37%,403467,30.62B
6,AMD,"Advanced Micro Devices, Inc.",335.10B,-2.27%,28794144,22.68B
7,ORCL,Oracle Corporation,309.03B,0.85%,2696748,51.63B
8,CRM,"Salesforce, Inc.",296.12B,-0.65%,966599,34.86B
9,ADBE,Adobe Inc.,249.67B,0.85%,847260,19.41B
10,ACN,Accenture plc,237.11B,-2.17%,581782,64.59B
11,SAP,SAP SE,226.14B,-1.84%,441589,34.16B
12,CSCO,"Cisco Systems, Inc.",200.43B,0.73%,3581488,57.23B
13,QCOM,QUALCOMM Incorporated,190.36B,0.29%,1868507,36.29B
14,INTC,Intel Corporation,186.03B,1.28%,11264558,54.23B
15,INTU,Intuit Inc.,182.47B,-1.26%,291562,15.09B
16,IBM,International Business Machines Corporation,179.64B,-1.96%,1132927,61.86B
17,AMAT,"Applied Materials, Inc.",170.80B,-2.24%,2228968,26.49B
18,UBER,"Uber Technologies, Inc.",163.42B,-1.05%,4495228,37.28B
19,TXN,Texas Instruments Incorporated,156.67B,0.05%,691002,17.52B
20,NOW,"ServiceNow, Inc.",155.32B,-1.01%,269624,8.97B
21,LRCX,Lam Research Corporation,125.42B,-2.67%,283439,14.32B
22,MU,"Micron Technology, Inc.",107.76B,-2.22%,4908013,16.18B
23,SONY,Sony Group Corporation,107.54B,-0.53%,101538,88.88B
24,SHOP,Shopify Inc.,98.03B,-1.34%,2035066,7.06B
25,ADI,"Analog Devices, Inc.",97.17B,0.56%,485947,11.57B
26,KLAC,KLA Corporation,94.56B,-2.40%,232084,9.67B
27,PANW,"Palo Alto Networks, Inc.",90.53B,1.98%,1710723,7.53B
28,FI,"Fiserv, Inc.",89.29B,-1.09%,451657,19.09B
29,SNPS,"Synopsys, Inc.",87.15B,-1.50%,172350,6.13B
30,ANET,"Arista Networks, Inc.",85.38B,-0.90%,728975,5.86B
31,CDNS,"Cadence Design Systems, Inc.",84.01B,-1.70%,319947,4.09B
32,DELL,Dell Technologies Inc.,82.11B,0.36%,2239072,91.15B
33,INFY,Infosys Limited,80.86B,-0.08%,1748277,18.21B
34,CRWD,"CrowdStrike Holdings, Inc.",78.09B,-0.99%,1073819,3.06B
35,ARM,Arm Holdings plc,77.65B,-1.19%,4967039,2.96B
36,WDAY,"Workday, Inc.",69.52B,1.52%,548446,7.26B
37,APH,Amphenol Corporation,66.23B,-1.25%,256169,12.55B
38,MRVL,"Marvell Technology, Inc.",65.20B,-4.44%,8616628,5.51B
39,NXPI,NXP Semiconductors N.V.,64.64B,0.55%,361267,13.28B
40,SMCI,"Super Micro Computer, Inc.",63.76B,-3.88%,3458753,9.25B
41,COIN,"Coinbase Global, Inc.",62.17B,3.83%,7790240,3.11B
42,PLTR,Palantir Technologies Inc.,57.62B,1.27%,26032009,2.23B
43,MSI,"Motorola Solutions, Inc.",55.72B,-0.18%,115349,9.98B
44,FTNT,"Fortinet, Inc.",54.44B,-1.32%,650118,5.30B
45,TEAM,Atlassian Corporation,54.16B,1.65%,425996,3.89B
46,ADSK,"Autodesk, Inc.",53.88B,1.31%,210230,5.50B
47,SNOW,Snowflake Inc.,53.40B,-0.53%,2125743,2.81B
48,SQ,"Block, Inc.",49.71B,1.28%,4401538,21.92B
49,MCHP,Microchip Technology Incorporated,48.01B,0.07%,919876,8.54B
50,STM,ST Microelectronics,43.61B,1.61%,1439059,17.29B
51,TEL,TE Connectivity Ltd.,43.40B,-0.04%,358807,16.02B
52,DDOG,"Datadog, Inc.",40.26B,-1.10%,1292653,2.13B
53,FIS,"Fidelity National Information Services, Inc.",40.15B,-0.87%,529077,9.82B
54,TTD,"The Trade Desk, Inc.",39.89B,-0.06%,568707,1.95B
55,CTSH,Cognizant Technology Solutions Corporation,38.22B,0.03%,400554,19.35B
56,IT,"Gartner, Inc.",36.14B,-0.09%,32220,5.91B
57,MPWR,"Monolithic Power Systems, Inc.",35.63B,-1.05%,114501,1.82B
58,ON,ON Semiconductor Corporation,33.74B,2.24%,1619771,8.25B
59,CDW,CDW Corporation,33.28B,-0.34%,92120,21.38B
60,NET,"Cloudflare, Inc.",33.09B,-0.12%,960444,1.30B
61,WIT,Wipro Limited,32.53B,-0.24%,350327,11.04B
62,FICO,Fair Isaac Corporation,32.32B,-2.43%,32227,1.55B
63,HUBS,"HubSpot, Inc.",30.63B,0.55%,116034,2.17B
64,HPQ,HP Inc.,30.08B,-0.76%,1551011,53.11B
65,FTV,Fortive Corporation,29.88B,-0.91%,108653,6.07B
66,ZS,"Zscaler, Inc.",29.78B,0.57%,495424,1.90B
67,ANSS,"ANSYS, Inc.",29.16B,-0.91%,64733,2.27B
68,GFS,GLOBALFOUNDRIES Inc.,28.99B,0.10%,280494,7.39B
69,GLW,Corning Incorporated,27.92B,-0.57%,375117,12.59B
70,MDB,"MongoDB, Inc.",27.89B,-3.09%,865639,1.68B
71,GIB,CGI Inc.,27.33B,-1.14%,19571,-
72,GRMN,Garmin Ltd.,27.22B,0.76%,216129,5.23B
73,KEYS,"Keysight Technologies, Inc.",26.94B,-0.90%,198107,5.34B
