,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
0,NEE,"NextEra Energy, Inc.",118.65B,-1.45%,2253760,28.11B
1,SO,The Southern Company,75.29B,-0.18%,487483,25.25B
2,DUK,Duke Energy Corporation,73.18B,-0.26%,343614,29.06B
3,CEG,Constellation Energy Corporation,54.01B,-1.11%,694612,24.92B
4,NGG,National Grid plc,51.18B,-0.47%,51001,26.10B
5,SRE,Sempra,44.93B,0.59%,511756,16.72B
6,AEP,"American Electric Power Company, Inc.",44.12B,-0.99%,828381,18.98B
7,PCG,PG&E Corporation,43.24B,-0.57%,4527785,24.43B
8,D,"Dominion Energy, Inc.",40.20B,-0.65%,814792,14.39B
9,EXC,Exelon Corporation,36.94B,-0.37%,970733,21.73B
10,PEG,Public Service Enterprise Group Incorporated,32.04B,-0.23%,519775,11.24B
11,ED,"Consolidated Edison, Inc.",31.14B,-0.27%,157835,14.66B
12,XEL,Xcel Energy Inc.,28.32B,2.31%,2622236,14.21B
13,EIX,Edison International,26.64B,-0.28%,258312,16.34B
14,WEC,"WEC Energy Group, Inc.",25.78B,-0.02%,241376,8.89B
15,DTE,DTE Energy Company,23.35B,-0.18%,292512,12.75B
16,AWK,"American Water Works Company, Inc.",23.07B,0.41%,236656,4.23B
17,ETR,Entergy Corporation,22.00B,-0.43%,112001,12.15B
18,FE,FirstEnergy Corp.,21.88B,-0.05%,631060,12.87B
19,VST,Vistra Corp.,21.04B,-2.65%,2368147,14.78B
20,ES,Eversource Energy,21.01B,0.57%,442771,11.91B
21,ELPC,Cia Paranaense De Energia Copel,20.06B,-,2253,4.15B
22,PPL,PPL Corporation,20.05B,-0.26%,795865,8.31B
23,EBR,Centrais Elétricas Brasileiras S.A. - Eletrobrás,19.98B,-0.40%,145569,6.75B
24,FTS,Fortis Inc.,19.71B,-0.50%,84269,8.66B
25,AEE,Ameren Corporation,19.44B,0.12%,172603,7.50B
26,CNP,"CenterPoint Energy, Inc.",17.89B,0.14%,809212,8.70B
27,CMS,CMS Energy Corporation,17.74B,-0.45%,252961,7.46B
28,ATO,Atmos Energy Corporation,17.47B,0.01%,132484,3.95B
29,BEP,Brookfield Renewable Partners L.P.,15.90B,1.21%,90788,5.04B
30,BIP,Brookfield Infrastructure Partners L.P.,14.09B,-1.19%,67206,17.93B
31,AGR,"Avangrid, Inc.",13.86B,-0.31%,274225,8.31B
32,LNT,Alliant Energy Corporation,12.64B,0.22%,197022,4.03B
33,NRG,"NRG Energy, Inc.",12.63B,-0.90%,561740,28.82B
34,NI,NiSource Inc.,12.09B,-0.39%,549434,5.51B
35,KEP,Korea Electric Power Corporation,11.85B,-0.11%,29263,55.94B
36,EVRG,"Evergy, Inc.",11.84B,-0.39%,374759,5.51B
37,AES,The AES Corporation,11.54B,1.14%,1956349,12.67B
38,SBS,Companhia de Saneamento Básico do Estado de São Paulo - SABESP,11.01B,-1.56%,398935,4.17B
39,WTRG,"Essential Utilities, Inc.",9.69B,0.38%,204596,2.05B
40,PNW,Pinnacle West Capital Corporation,8.13B,-0.08%,174325,4.70B
41,OGE,OGE Energy Corp.,6.78B,0.10%,300619,2.67B
42,NFE,New Fortress Energy Inc.,6.71B,-,300034,2.41B
43,ELP,Cia Paranaense De Energia Copel,6.08B,-0.12%,42841,4.15B
44,CIG,Cia Energetica DE Minas Gerais - Cemig,5.71B,-0.21%,337981,6.51B
45,SWX,"Southwest Gas Holdings, Inc.",5.30B,-0.34%,103388,5.43B
46,UGI,UGI Corporation,5.25B,0.68%,300791,8.29B
47,BIPC,Brookfield Infrastructure Corporation,4.67B,-1.42%,39995,2.08B
48,BEPC,Brookfield Renewable Corporation,4.55B,0.79%,75283,4.55B
49,IDA,"IDACORP, Inc.",4.52B,0.53%,41497,1.77B
50,CWEN,"Clearway Energy, Inc.",4.44B,-,78977,1.31B
51,AQN,Algonquin Power & Utilities Corp.,4.43B,1.25%,1904862,2.70B
52,NJR,New Jersey Resources Corporation,4.23B,0.44%,41049,1.71B
53,POR,Portland General Electric Company,4.20B,0.43%,82739,2.92B
54,ORA,"Ormat Technologies, Inc.",4.15B,-0.60%,84801,829.42M
55,ENIC,Enel Chile S.A.,4.06B,0.17%,129534,5.83B
56,BKH,Black Hills Corporation,3.67B,-0.26%,65143,2.33B
57,OGS,"ONE Gas, Inc.",3.57B,-0.67%,41722,2.37B
58,OTTR,Otter Tail Corporation,3.55B,-2.31%,33390,1.35B
59,PNM,"PNM Resources, Inc.",3.40B,0.37%,58373,1.94B
60,SR,Spire Inc.,3.34B,0.25%,84617,2.61B
61,ALE,"ALLETE, Inc.",3.33B,0.17%,32042,1.88B
62,NWE,NorthWestern Corporation,3.03B,0.55%,47627,1.42B
63,MGEE,"MGE Energy, Inc.",2.92B,-2.19%,123906,690.43M
64,FLNC,"Fluence Energy, Inc.",2.75B,0.97%,391419,2.27B
65,NEP,"NextEra Energy Partners, LP",2.75B,0.09%,234132,1.08B
66,AWR,American States Water Company,2.67B,1.76%,51348,595.70M
67,CWT,California Water Service Group,2.67B,2.65%,61466,794.63M
68,AVA,Avista Corporation,2.67B,0.88%,79226,1.75B
69,PAM,Pampa Energía S.A.,2.62B,-1.57%,37795,1.83B
70,RNW,ReNew Energy Global Plc,2.43B,-0.53%,55551,1.18B
71,CPK,Chesapeake Utilities Corporation,2.34B,0.37%,7742,670.60M
72,AY,Atlantica Sustainable Infrastructure plc,2.14B,-1.64%,344243,1.10B
73,TAC,TransAlta Corporation,2.13B,-0.65%,105134,2.52B
74,ENLT,Enlight Renewable Energy Ltd,2.08B,0.63%,40790,255.70M
75,SJW,SJW Group,1.84B,0.61%,33295,670.36M
76,EE,"Excelerate Energy, Inc.",1.74B,-0.96%,61704,1.16B
77,NWN,Northwest Natural Holding Company,1.42B,0.37%,33774,1.20B
78,CEPU,Central Puerto S.A.,1.42B,-2.79%,70187,574.79M
79,KEN,Kenon Holdings Ltd.,1.40B,-3.24%,1946,685.96M
80,SPH,"Suburban Propane Partners, L.P.",1.34B,0.33%,23177,1.40B
81,HE,"Hawaiian Electric Industries, Inc.",1.30B,-0.89%,360324,3.68B
82,AMPS,"Altus Power, Inc.",1.05B,0.53%,71151,147.73M
83,MSEX,Middlesex Water Company,933.14M,-1.51%,21260,166.27M
84,UTL,Unitil Corporation,844.86M,-0.95%,3785,557.10M
85,EDN,Empresa Distribuidora y Comercializadora Norte SA,835.70M,-0.12%,2475,1.17B
86,OPAL,OPAL Fuels Inc.,827.40M,0.83%,9351,235.82M
87,MNTK,"Montauk Renewables, Inc.",724.06M,1.59%,93093,177.74M
88,ARIS,"Aris Water Solutions, Inc.",692.96M,0.50%,96014,392.12M
89,GNE,Genie Energy Ltd.,519.02M,-10.51%,151692,405.18M
90,YORW,The York Water Company,508.43M,0.56%,9415,71.03M
91,CWCO,Consolidated Water Co. Ltd.,464.87M,-2.44%,17666,155.39M
92,SMR,NuScale Power Corporation,421.50M,15.12%,3950225,21.69M
93,ARTNA,Artesian Resources Corporation,371.60M,-0.07%,3736,99.43M
94,GWRS,"Global Water Resources, Inc.",316.70M,-,7417,53.03M
95,NRGV,"Energy Vault Holdings, Inc.",285.66M,-1.01%,632831,323.63M
96,PCYO,Pure Cycle Corporation,240.81M,-0.75%,2357,18.63M
97,ELLO,Ellomay Capital Ltd.,217.85M,-0.77%,2461,52.91M
98,RGCO,"RGC Resources, Inc.",206.72M,0.34%,2718,88.58M
99,CDZI,Cadiz Inc.,191.46M,-1.74%,13281,1.88M
100,VIA,"Via Renewables, Inc.",78.66M,-0.41%,6195,435.19M
101,VGAS,"Verde Clean Fuels, Inc.",43.28M,-1.30%,3473,-
102,ALCE,Alternus Energy Group Plc,30.20M,-1.40%,85874,44.51M
103,HTOO,Fusion Fuel Green PLC,30.12M,-3.89%,104537,-
104,ADN,"Advent Technologies Holdings, Inc.",16.15M,6.60%,485237,5.31M
105,CREG,Smart Powerr Corp.,11.55M,0.73%,5936,-
106,WAVE,Eco Wave Power Global AB (publ),7.44M,-2.96%,7051,27.00K
107,BNRG,Brenmiller Energy Ltd,7.22M,2.09%,2131,580.00K
